user_id	item_id
0	5786
0	5789
0	5788
0	5783
0	5782
0	5785
0	5784
0	5781
0	5780
0	6224
0	6225
0	6226
0	6227
0	6228
0	6229
0	6230
0	6231
0	6232
0	6669
0	6668
0	6667
0	6666
0	6699
0	6664
0	6663
0	6675
0	6674
0	7094
0	7095
0	7092
0	6003
0	7098
0	7099
1	5786
1	5788
1	6227
1	6228
1	6669
1	6667
1	6663
1	363
1	365
1	364
1	367
1	366
1	369
1	368
1	370
1	3840
1	3841
1	3842
1	7358
1	3838
1	3839
1	162
1	161
1	160
1	159
1	158
1	157
1	156
1	155
1	154
2	5788
2	367
2	159
2	4624
2	868
2	863
2	866
2	865
2	862
2	861
2	4198
2	4200
2	4199
2	4202
2	4201
2	4204
2	4203
2	4206
2	4205
2	744
2	745
2	742
2	743
2	740
2	741
2	738
2	739
2	750
2	3972
2	3971
2	3970
3	6663
3	492
3	3703
3	3700
3	3702
3	3701
3	3704
3	1617
3	268
3	265
3	266
3	269
3	270
3	264
3	3438
3	3437
3	3436
3	3435
3	3442
3	3441
3	3440
3	3439
3	3444
4	5782
4	6230
4	7091
4	270
4	5250
4	5249
4	1725
4	1726
4	1723
4	1724
4	1721
4	1722
4	1719
4	1720
4	1717
4	1718
4	4819
4	4820
4	4821
4	4822
4	4823
4	4824
4	4825
4	4826
4	4817
4	4818
4	1067
4	1066
4	1065
4	1064
4	1070
4	1069
4	1068
5	6668
5	7091
5	57
5	268
5	270
5	3441
5	5250
5	5249
5	1726
5	1723
5	1722
5	1719
5	1717
5	4819
5	4821
5	1066
5	5108
5	1343
5	1342
5	3731
5	5382
5	5384
5	5385
5	5378
5	5379
5	5380
5	5381
5	5386
5	5387
5	1586
6	4686
6	5652
6	1835
6	1834
6	1838
6	1837
6	1840
6	1839
6	1830
6	4379
6	3798
6	3799
6	3800
6	3801
6	3802
6	3803
6	120
6	119
6	118
7	367
7	370
7	866
7	861
7	4198
7	4206
7	739
7	750
7	3967
7	3964
7	3963
7	1964
7	1965
7	4664
7	1972
7	5812
7	5811
7	5923
7	5813
7	5925
7	5815
7	303
7	5817
7	5808
7	5807
7	2233
7	2234
7	2231
7	2232
7	2230
7	2228
7	2229
8	6230
8	7091
8	368
8	498
8	494
8	5250
8	5249
8	1723
8	1721
8	1722
8	4819
8	4820
8	4823
8	4825
8	5114
8	5112
8	5116
8	5378
8	5387
8	1438
8	1825
8	1826
8	1434
8	1809
8	2621
8	2620
8	2624
8	2623
8	5209
8	5208
9	6667
9	6644
9	867
9	498
9	5250
9	4819
9	1347
9	5378
9	1839
9	1830
9	5512
9	5511
9	5211
9	4438
9	4437
9	4436
9	4435
9	945
9	946
9	947
9	948
9	941
9	942
9	943
9	944
9	939
9	940
9	6243
9	6244
9	6241
9	6242
9	6239
9	6240
9	6237
10	5782
10	6230
10	7091
10	159
10	3964
10	1723
10	1722
10	1717
10	1718
10	4819
10	4821
10	1067
10	1069
10	1063
10	5114
10	5115
10	1347
10	5378
10	5387
10	4195
10	1830
10	2620
10	5211
10	939
10	5936
10	5930
10	5931
10	5932
10	6709
10	5938
10	5939
10	2086
10	2085
10	2084
10	2083
11	5620
11	1779
11	1780
11	1778
11	1777
11	5325
11	5326
11	3311
11	5328
11	3304
11	1521
11	1520
11	1519
11	1518
11	1525
11	1524
11	1523
11	1517
11	5042
11	5043
12	6232
12	367
12	370
12	865
12	4199
12	4201
12	742
12	741
12	3970
12	3965
12	500
12	3440
12	5807
12	2353
12	1300
12	2602
12	2604
12	2603
12	2599
12	2598
12	2601
12	2600
12	2609
12	2608
12	2340
12	2341
12	2338
12	2339
12	2344
12	2345
12	6551
13	7091
13	3840
13	5380
13	3802
13	2084
13	816
13	818
13	6249
13	6250
13	6251
13	4775
13	4762
13	4788
13	4782
13	4802
13	4755
13	4816
13	112
13	3168
13	1046
13	4638
13	7141
13	5544
13	5570
13	7153
14	5785
14	6230
14	7091
14	3963
14	498
14	5250
14	5249
14	1723
14	1717
14	4819
14	4825
14	5113
14	5114
14	5378
14	4288
14	2620
14	5209
14	5211
14	939
14	5932
14	5938
14	2089
14	5617
14	5619
14	6850
14	3664
14	3663
14	3666
14	3665
15	5785
15	6228
15	6668
15	6667
15	7090
15	3842
15	158
15	868
15	3972
15	3965
15	498
15	1830
15	3803
15	2353
15	2083
15	3254
15	3255
15	3256
15	3250
15	3251
15	6951
15	6950
15	6949
15	6948
15	6947
15	6946
15	2260
15	4544
15	4542
15	3516
15	3517
16	5785
16	7090
16	4064
16	3842
16	6239
16	2356
16	2715
16	2716
16	2717
16	2718
16	2719
16	6388
16	6387
16	6385
16	6392
16	6391
16	6390
16	6389
16	6394
16	6393
16	2997
16	2998
16	2996
16	3000
16	3775
16	2999
17	5782
17	6230
17	6668
17	7091
17	5250
17	5249
17	1723
17	1724
17	1722
17	1717
17	1718
17	4819
17	4821
17	4825
17	1067
17	1063
17	5114
17	4195
17	2620
17	5208
17	5211
17	3532
17	5936
17	2085
17	2081
17	5612
17	2886
17	6851
17	6850
17	3663
17	3662
17	3258
17	4268
17	4269
18	1968
18	6242
18	2358
18	3892
18	3891
18	3890
18	3885
18	3884
18	420
18	421
18	422
18	423
18	424
18	425
18	426
18	418
18	419
18	4117
18	4118
18	4115
18	4116
18	4113
18	4112
18	4207
18	665
19	2792
19	6667
19	365
19	370
19	3842
19	3972
19	3966
19	3965
19	500
19	5812
19	2228
19	2353
19	1300
19	2345
19	3256
19	897
19	5824
19	5827
19	5819
19	5820
19	5821
19	5822
19	901
19	902
19	4641
19	4640
19	6728
19	4642
19	6730
19	6729
19	4646
19	4645
20	5782
20	6230
20	7091
20	368
20	3839
20	3963
20	270
20	264
20	5253
20	5250
20	5249
20	1726
20	1722
20	1717
20	4819
20	4820
20	4821
20	1067
20	1069
20	1347
20	5382
20	5815
20	2229
20	5932
20	3657
20	212
20	3251
20	4268
20	4273
20	2854
20	2853
20	2852
21	5782
21	6230
21	7091
21	366
21	368
21	5250
21	5249
21	1725
21	1723
21	1724
21	1721
21	1722
21	1719
21	4821
21	4817
21	4818
21	1067
21	1066
21	1070
21	1063
21	5114
21	5115
21	5116
21	1345
21	5387
21	1586
21	4195
21	1582
21	1438
21	1809
21	2624
21	5206
21	3532
21	4440
22	904
22	2353
22	3256
22	4542
22	4390
22	790
22	786
22	785
22	4251
22	4252
22	4253
22	598
22	4255
22	4248
22	530
22	529
22	528
22	532
22	531
22	525
22	5009
22	5010
22	5007
23	5786
23	6230
23	365
23	160
23	4625
23	5115
23	5386
23	5813
23	2623
23	5619
23	2344
23	4762
23	4802
23	3657
23	3258
23	3259
23	3510
23	4640
23	790
23	4748
23	4749
23	4750
23	4744
23	4745
23	4746
23	4747
23	4751
23	4752
23	1009
23	1008
23	1007
23	1006
24	5786
24	5780
24	6224
24	6667
24	7099
24	51
24	3597
24	869
24	5651
24	5735
24	7201
24	7200
24	7195
24	7194
24	7197
24	7196
24	7205
24	7204
24	6078
24	6077
24	6076
24	6075
24	6074
24	6073
24	6072
24	6071
24	6070
24	6069
24	2214
24	2215
25	5782
25	7091
25	3840
25	4205
25	5250
25	5249
25	1723
25	4819
25	4821
25	1068
25	1063
25	5115
25	1347
25	1830
25	1438
25	2620
25	5209
25	5211
25	3527
25	4441
25	939
25	6243
25	5938
25	2085
